"Time","Sound pressure level"
0.000000000E0,-5.905962132E1
1.108630896E-1,-6.124133131E1
2.167110443E-1,-6.143050384E1
3.243430853E-1,-6.273786337E1
4.332770109E-1,-5.977831663E1
5.411850214E-1,-6.252162120E1
6.499940157E-1,-6.220565114E1
7.578930855E-1,-6.319991750E1
8.666870594E-1,-6.231451276E1
9.746270180E-1,-6.259609499E1
1.083312035E0,-6.243640058E1
1.191479087E0,-4.208652898E1
1.299998999E0,-4.155652686E1
1.408248067E0,-3.650690512E1
1.516691089E0,-3.900932331E1
1.625022054E0,-4.632856301E1
1.733264089E0,-4.724321060E1
1.841714025E0,-4.734064198E1
1.950028062E0,-4.757840045E1
2.058526039E0,-4.724530299E1
2.166701078E0,-4.790521066E1
2.275286078E0,-4.716663576E1
2.383432984E0,-4.757342276E1
2.492190003E0,-4.721154858E1
2.599925995E0,-4.751540172E1
2.711632013E0,-4.822947150E1
2.816640019E0,-4.802372382E1
2.925585032E0,-4.856207374E1
3.033352017E0,-4.758194031E1
3.142490029E0,-4.782160342E1
3.248465061E0,-4.821635159E1
3.359171987E0,-4.796256002E1
3.465077996E0,-4.864381146E1
3.575917006E0,-4.764133183E1
3.681764007E0,-4.818801802E1
3.792652011E0,-4.866953815E1
3.904852033E0,-4.842625237E1
4.009461045E0,-4.988703580E1
4.121553063E0,-5.015847807E1
4.226235032E0,-4.977843463E1
4.338168025E0,-5.065737102E1
4.443032980E0,-5.037526782E1
4.554869056E0,-4.916104170E1
4.661900043E0,-4.968614309E1
4.771525979E0,-5.014307319E1
4.878620982E0,-4.947508934E1
4.988203049E0,-4.916373674E1
5.095218062E0,-4.967617868E1
5.204886079E0,-4.947628723E1
5.312939048E0,-5.011480266E1
5.419059038E0,-4.981404933E1
5.526839018E0,-4.879194180E1
5.635506034E0,-5.047143178E1
5.743763089E0,-4.949617036E1
5.852171063E0,-4.880638541E1
5.962983012E0,-4.970583352E1
6.068834066E0,-4.947735724E1
6.177230000E0,-4.912432120E1
6.285519004E0,-5.018877133E1
6.393972993E0,-4.969624739E1
6.502215981E0,-4.922364065E1
6.610753059E0,-4.957777169E1
6.718808055E0,-4.935332850E1
6.827540994E0,-4.930761573E1
6.934530020E0,-4.992880822E1
7.044286013E0,-4.946823034E1
7.152175069E0,-4.919093446E1
7.261083007E0,-4.951687176E1
7.371532083E0,-4.944627398E1
7.477905035E0,-4.840735725E1
7.588178992E0,-4.919304662E1
7.694539070E0,-4.898515994E1
7.804849982E0,-4.914604848E1
7.914090037E0,-5.011191484E1
8.021537066E0,-4.946212497E1
8.128143072E0,-4.912707107E1
8.238132000E0,-4.933754879E1
8.344992995E0,-4.963316250E1
8.454836011E0,-4.929199593E1
8.561632991E0,-4.934824897E1
8.671552062E0,-4.868643945E1
8.778467059E0,-4.806045053E1
8.888182044E0,-4.823856308E1
8.995211005E0,-4.859491212E1
9.104840040E0,-4.843857603E1
9.212042093E0,-4.904360020E1
9.321523070E0,-4.845873542E1
9.428794026E0,-4.841911178E1
9.538213015E0,-4.840719684E1
9.645577073E0,-4.838976204E1
9.754860997E0,-4.856381946E1
9.862300038E0,-4.912611725E1
9.971469998E0,-4.825296752E1
1.007916498E1,-4.835610396E1
1.018816209E1,-4.881780143E1
1.029581499E1,-4.801665649E1
1.040485704E1,-4.867847758E1
1.051611507E1,-4.828624448E1
1.062153399E1,-4.871865848E1
1.072943103E1,-4.854749792E1
1.083823109E1,-4.851659317E1
1.094632602E1,-4.882790861E1
1.105484903E1,-4.854875469E1
1.116296208E1,-4.911929616E1
1.127149498E1,-4.834976922E1
1.138398600E1,-4.845042970E1
1.149644709E1,-4.903878436E1
1.160480702E1,-4.800425780E1
1.171615708E1,-4.936395276E1
1.182140601E1,-4.908674815E1
1.193003404E1,-4.881467548E1
1.203806603E1,-4.876945598E1
1.214688408E1,-4.940577896E1
1.225472307E1,-4.966254782E1
1.236353803E1,-4.958776633E1
1.247135603E1,-4.957326059E1
1.258038306E1,-4.937997769E1
1.268801498E1,-4.997906704E1
1.279703808E1,-4.978390092E1
1.290468299E1,-4.889883828E1
1.301386702E1,-4.988950688E1
1.312133801E1,-4.953862072E1
1.323067808E1,-4.801256154E1
1.333798599E1,-4.757765829E1
1.344747806E1,-4.916029602E1
1.355485201E1,-4.963186667E1
1.366415107E1,-4.977366388E1
1.377132905E1,-4.933140568E1
1.388095808E1,-4.923953593E1
1.398796499E1,-5.007070402E1
1.409780908E1,-4.936774314E1
1.420463598E1,-4.897964192E1
1.431717408E1,-5.011114476E1
1.442123699E1,-4.991527111E1
1.453129900E1,-4.959240872E1
1.463819206E1,-5.005023153E1
