"Time","Sound pressure level"
4.092659950E-1,-3.814013601E1
5.214859247E-1,-4.046687890E1
6.306049824E-1,-4.703100580E1
7.403359413E-1,-5.998246940E1
8.511149883E-1,-6.123232392E1
9.625989199E-1,-6.072272870E1
1.077615976E0,-6.322525693E1
1.180827975E0,-6.375316786E1
1.288249016E0,-6.223271101E1
1.397570014E0,-6.290999495E1
1.508592963E0,-5.352872470E1
1.614336014E0,-4.821160798E1
1.725612998E0,-4.381641655E1
1.831158996E0,-4.256365197E1
1.941643000E0,-4.387940413E1
2.047895908E0,-4.475898297E1
2.159029961E0,-4.467699383E1
2.264733911E0,-4.423108080E1
2.370113015E0,-4.448638140E1
2.481408954E0,-4.505719594E1
2.589594007E0,-4.572403411E1
2.698341966E0,-4.581563937E1
2.804741979E0,-4.662391233E1
2.916575909E0,-4.715262065E1
3.021355987E0,-4.811549780E1
3.131778955E0,-4.805971433E1
3.238091946E0,-4.770550313E1
3.348657966E0,-4.741893527E1
3.454656959E0,-4.759713201E1
3.565445900E0,-4.772995763E1
3.673403978E0,-4.829773706E1
3.782086968E0,-4.778808792E1
3.890496969E0,-5.012456103E1
4.000643015E0,-4.950667664E1
4.112627983E0,-4.958715620E1
4.215737939E0,-5.061923926E1
4.326970935E0,-5.009115148E1
4.432464004E0,-4.915512919E1
4.542424917E0,-4.937424202E1
4.649244905E0,-5.018327442E1
4.760486007E0,-4.981133565E1
4.871585965E0,-4.922289576E1
4.982661963E0,-5.069758387E1
5.093716979E0,-4.956583641E1
5.199625969E0,-5.019811997E1
5.312188983E0,-5.006587408E1
5.422801971E0,-5.055947272E1
5.533114910E0,-4.869119656E1
5.644372940E0,-4.937875278E1
5.749854922E0,-5.103649876E1
5.862275958E0,-5.005723705E1
5.966674924E0,-4.996185209E1
6.078953981E0,-4.996861893E1
6.183311939E0,-5.135081790E1
6.295234919E0,-4.980382670E1
6.400267959E0,-5.005365736E1
6.512275934E0,-5.016482614E1
6.616825938E0,-5.050756724E1
6.719076991E0,-4.927229293E1
6.828920960E0,-4.975560652E1
6.933674932E0,-4.968927842E1
7.045235991E0,-4.982458813E1
7.150476933E0,-4.998214658E1
7.261845946E0,-5.049420137E1
7.367269993E0,-5.096793913E1
7.478752017E0,-4.939827883E1
7.584102988E0,-4.982120165E1
7.695979953E0,-5.111570245E1
7.800709963E0,-4.998383024E1
7.912123919E0,-5.000510820E1
8.017508984E0,-5.054666417E1
8.128919959E0,-4.973173588E1
8.234295964E0,-5.016817989E1
8.345044017E0,-5.005916856E1
8.451098919E0,-5.096887268E1
8.560819983E0,-5.113360558E1
8.667847991E0,-4.983679931E1
8.776672006E0,-5.072113550E1
8.884662986E0,-5.040158434E1
8.992487907E0,-5.034589512E1
9.101365924E0,-5.030622596E1
9.208284974E0,-5.084335819E1
9.319959998E0,-5.038613440E1
9.424183011E0,-5.037904949E1
9.534952998E0,-4.987226524E1
9.640015960E0,-5.131350714E1
9.745371938E0,-5.019445291E1
9.855826974E0,-4.978879838E1
9.962114930E0,-5.065285313E1
1.007170892E1,-5.047495828E1
1.018296099E1,-5.072598849E1
1.028686500E1,-5.080676286E1
1.039870000E1,-5.101340440E1
1.050343299E1,-4.978811536E1
1.061606801E1,-5.095072218E1
1.072039998E1,-5.079112642E1
1.082621694E1,-5.071875613E1
1.093559492E1,-4.931357657E1
1.104682291E1,-5.048694873E1
1.115942895E1,-4.962403157E1
1.126922190E1,-5.015238913E1
1.137619996E1,-4.896265150E1
1.148592794E1,-5.199455212E1
1.159270191E1,-5.065846287E1
1.170284295E1,-5.054326216E1
1.181496692E1,-5.100473097E1
1.192250001E1,-5.137884348E1
1.203078890E1,-5.039955131E1
1.213628399E1,-5.094621994E1
1.224662495E1,-5.194400615E1
1.235319996E1,-5.175102866E1
1.246250701E1,-5.051597833E1
1.257000399E1,-5.106162708E1
1.267828298E1,-5.072274159E1
1.278653693E1,-4.961210817E1
1.289413190E1,-5.008111704E1
1.300334799E1,-5.108190410E1
1.310998201E1,-5.119928084E1
1.322010291E1,-5.073014676E1
1.332580900E1,-5.087939059E1
1.343685794E1,-5.098402468E1
1.354163396E1,-4.983433991E1
1.365368295E1,-5.014620687E1
1.375733292E1,-4.891812692E1
1.386603498E1,-5.111214327E1
1.397303498E1,-4.911836385E1
1.408270395E1,-5.019644574E1
1.418874991E1,-5.108018867E1
1.429931796E1,-5.035876891E1
1.440396798E1,-5.078868657E1
1.451407993E1,-5.128763273E1
1.462082195E1,-4.993838181E1
1.473231399E1,-5.001883780E1
1.483744800E1,-5.073044450E1
1.494856894E1,-5.174197651E1
1.505442798E1,-5.118831290E1
1.516602695E1,-5.056889017E1
1.527116096E1,-5.135180340E1
1.538246500E1,-5.059357129E1
1.548788595E1,-5.064583596E1
1.559774494E1,-5.091391979E1
1.570458901E1,-5.109533002E1
1.581572497E1,-5.042531888E1
1.592326093E1,-5.119776923E1
1.603197896E1,-5.145220550E1
1.613824201E1,-5.110521647E1
1.624779701E1,-5.088044958E1
1.635514092E1,-5.079145464E1
1.646626902E1,-5.163246974E1
1.657201898E1,-5.033376380E1
1.668247890E1,-5.166999939E1
1.678867793E1,-5.166999939E1
1.689948690E1,-5.142846108E1
1.700536096E1,-5.136448906E1
1.711623490E1,-5.192443212E1
1.722207701E1,-5.067282132E1
1.733296597E1,-5.104533679E1
1.743882191E1,-5.114454660E1
1.754959893E1,-5.200109441E1
1.765561795E1,-5.093809311E1
1.776641393E1,-5.094144884E1
1.787239993E1,-5.151729883E1
1.798281300E1,-5.144375154E1
1.808917391E1,-5.099192951E1
1.819976091E1,-5.137619247E1
1.830598199E1,-5.153024695E1
1.841637492E1,-5.085225563E1
1.852545893E1,-5.138509779E1
1.863299596E1,-5.148857327E1
1.873945999E1,-5.054195722E1
1.884983492E1,-5.076775954E1
1.895636296E1,-5.141191446E1
1.906642091E1,-5.198943149E1
1.917300594E1,-5.133807798E1
1.928300500E1,-5.098993137E1
1.938992500E1,-5.167315143E1
1.949967599E1,-5.105072697E1
1.960657692E1,-5.099253262E1
1.971466601E1,-5.198906926E1
1.982337499E1,-5.102002681E1
1.993133199E1,-5.121534449E1
2.004022193E1,-5.037220165E1
2.014791298E1,-5.154447907E1
2.025689793E1,-5.103186459E1
2.036458898E1,-5.067705341E1
2.047365892E1,-5.150925674E1
2.058124697E1,-5.128871606E1
2.069043899E1,-5.064210884E1
2.079799092E1,-5.163769282E1
2.090723097E1,-5.218553888E1
2.101468801E1,-5.059075072E1
2.112702096E1,-5.012170820E1
2.123150396E1,-5.172940231E1
2.134074593E1,-5.102349169E1
2.144798696E1,-5.056664448E1
2.155759192E1,-5.052691972E1
2.166506195E1,-5.200744142E1
2.177437592E1,-5.125383522E1
2.188165295E1,-5.089426942E1
2.199098802E1,-5.077639397E1
2.209681499E1,-5.115148999E1
2.220788300E1,-5.103378981E1
2.231343293E1,-5.115399137E1
2.242462301E1,-5.134407936E1
2.253010690E1,-5.128468008E1
2.264133501E1,-5.061433537E1
2.274684894E1,-5.089049762E1
2.285815096E1,-5.200115440E1
2.296340191E1,-5.232332135E1
2.307488894E1,-5.047034819E1
2.318015790E1,-5.181944075E1
2.329174292E1,-5.138180225E1
2.339679396E1,-5.096057837E1
2.350855601E1,-5.119807931E1
2.361342394E1,-5.176446757E1
2.372793496E1,-5.080555581E1
2.383530796E1,-5.054905984E1
2.394691801E1,-5.203014813E1
2.405824602E1,-5.122679288E1
2.417098999E1,-5.107450409E1
2.427559590E1,-5.014945176E1
2.438827491E1,-5.105818298E1
2.449232495E1,-5.069818868E1
2.460482097E1,-5.121526748E1
2.471116090E1,-5.177428485E1
2.482371294E1,-5.149181904E1
2.494007492E1,-5.072783558E1
2.504678690E1,-5.083883634E1
2.515934396E1,-5.263478540E1
2.527192390E1,-5.161560505E1
2.537786293E1,-5.065053965E1
2.549044096E1,-5.116607413E1
2.559448791E1,-5.138606470E1
2.570715499E1,-5.082389627E1
2.581196797E1,-5.037253624E1
2.592455399E1,-5.130931314E1
2.603931701E1,-5.149071595E1
2.614638793E1,-5.024911054E1
2.625669992E1,-5.095450943E1
2.636304390E1,-5.234568206E1
2.647563994E1,-5.153918538E1
2.659078598E1,-5.125826001E1
2.669638896E1,-5.186478284E1
2.680688393E1,-5.105979251E1
2.691302598E1,-5.133451067E1
2.702172494E1,-5.119485830E1
2.712951696E1,-5.141404842E1
2.723909700E1,-5.069669469E1
2.734631097E1,-5.088127668E1
2.745919800E1,-5.119840217E1
2.757462096E1,-5.147162584E1
2.767835796E1,-5.067512291E1
2.779091001E1,-5.071012940E1
2.790125000E1,-5.162597321E1
2.801073396E1,-5.083385838E1
2.811795998E1,-5.057936802E1
2.822749090E1,-5.183530971E1
2.833458698E1,-5.200382516E1
2.844423592E1,-5.070652527E1
2.855607593E1,-5.055988999E1
2.866109693E1,-5.153394851E1
